title,from_date,count
Senior Staff,8/1/2002,14
Senior Engineer,8/1/2002,11
Engineer,8/1/2002,2
Senior Engineer,7/31/2002,20
Engineer,7/31/2002,4
Senior Staff,7/31/2002,22
Senior Engineer,7/30/2002,18
Senior Staff,7/30/2002,11
Engineer,7/30/2002,3
Senior Staff,7/29/2002,13
Senior Engineer,7/29/2002,15
Engineer,7/29/2002,3
Senior Staff,7/28/2002,12
Senior Engineer,7/28/2002,19
Engineer,7/28/2002,5
Engineer,7/27/2002,1
Senior Staff,7/27/2002,17
Senior Engineer,7/27/2002,19
Senior Staff,7/26/2002,20
Senior Engineer,7/26/2002,18
Engineer,7/26/2002,2
Engineer,7/25/2002,1
Senior Staff,7/25/2002,17
Senior Engineer,7/25/2002,24
Engineer,7/24/2002,4
Senior Staff,7/24/2002,16
Senior Engineer,7/24/2002,27
Senior Staff,7/23/2002,14
Senior Engineer,7/23/2002,15
Engineer,7/23/2002,3
Engineer,7/22/2002,2
Senior Staff,7/22/2002,6
Senior Engineer,7/22/2002,18
Senior Staff,7/21/2002,14
Senior Engineer,7/21/2002,17
Engineer,7/21/2002,2
Engineer,7/20/2002,3
Senior Staff,7/20/2002,20
Senior Engineer,7/20/2002,12
Engineer,7/19/2002,1
Senior Staff,7/19/2002,17
Senior Engineer,7/19/2002,18
Senior Engineer,7/18/2002,15
Senior Staff,7/18/2002,16
Senior Engineer,7/17/2002,26
Senior Staff,7/17/2002,15
Engineer,7/17/2002,1
Senior Staff,7/16/2002,15
Engineer,7/16/2002,1
Senior Engineer,7/16/2002,16
Engineer,7/15/2002,1
Senior Staff,7/15/2002,14
Senior Engineer,7/15/2002,15
Senior Engineer,7/14/2002,20
Engineer,7/14/2002,1
Senior Staff,7/14/2002,21
Senior Staff,7/13/2002,18
Senior Engineer,7/13/2002,18
Senior Engineer,7/12/2002,22
Engineer,7/12/2002,5
Senior Staff,7/12/2002,14
Senior Staff,7/11/2002,23
Senior Engineer,7/11/2002,25
Senior Staff,7/10/2002,25
Engineer,7/10/2002,1
Senior Engineer,7/10/2002,11
Senior Engineer,7/9/2002,19
Senior Staff,7/9/2002,27
Engineer,7/9/2002,2
Engineer,7/8/2002,2
Senior Staff,7/8/2002,15
Senior Engineer,7/8/2002,15
Senior Engineer,7/7/2002,20
Engineer,7/7/2002,4
Senior Staff,7/7/2002,14
Senior Staff,7/6/2002,26
Senior Engineer,7/6/2002,27
Engineer,7/6/2002,2
Senior Engineer,7/5/2002,14
Senior Staff,7/5/2002,19
Engineer,7/4/2002,3
Senior Staff,7/4/2002,23
Senior Engineer,7/4/2002,13
Senior Engineer,7/3/2002,9
Senior Staff,7/3/2002,19
Engineer,7/3/2002,2
Senior Staff,7/2/2002,25
Senior Engineer,7/2/2002,12
Engineer,7/2/2002,1
Senior Staff,7/1/2002,21
Engineer,7/1/2002,2
Senior Engineer,7/1/2002,12
Senior Engineer,6/30/2002,13
Engineer,6/30/2002,1
Senior Staff,6/30/2002,13
Engineer,6/29/2002,4
Senior Staff,6/29/2002,13
Senior Engineer,6/29/2002,20
Senior Engineer,6/28/2002,12
Senior Staff,6/28/2002,10
Engineer,6/28/2002,3
Senior Staff,6/27/2002,20
Senior Engineer,6/27/2002,22
Senior Engineer,6/26/2002,18
Senior Staff,6/26/2002,14
Engineer,6/26/2002,2
Engineer,6/25/2002,3
Senior Staff,6/25/2002,16
Senior Engineer,6/25/2002,25
Senior Staff,6/24/2002,20
Senior Engineer,6/24/2002,15
Senior Engineer,6/23/2002,20
Senior Staff,6/23/2002,14
Engineer,6/23/2002,5
Senior Staff,6/22/2002,18
Senior Engineer,6/22/2002,20
Engineer,6/22/2002,1
Engineer,6/21/2002,3
Senior Staff,6/21/2002,19
Senior Engineer,6/21/2002,18
Senior Staff,6/20/2002,17
Engineer,6/20/2002,1
Senior Engineer,6/20/2002,10
Engineer,6/19/2002,4
Senior Staff,6/19/2002,17
Senior Engineer,6/19/2002,10
Senior Engineer,6/18/2002,20
Engineer,6/18/2002,2
